codigo	tipo	equipo	player	x	y	min	sec	period	partido	nombre_equipo	nombre_jugador	outcome	fase	tipo	end_x	end_y	extra
1	pase	407	167432	56.8	91.8	4	40	1	2372227	Las Palmas	Daley Sinkgraven	1	0	0	50.3	89.5	0
1	pase	407	449718	52.8	89.8	4	42	1	2372227	Las Palmas	Enzo Loiodice	1	0	0	43.2	54.8	0
1	pase	407	451565	44	45.6	4	46	1	2372227	Las Palmas	Saúl Coco	1	0	0	54.6	46.6	0
1	pase	407	198221	53.7	45.4	4	47	1	2372227	Las Palmas	Javi Muñoz	1	0	0	40.7	39	0
1	pase	407	451565	40.2	31.7	4	49	1	2372227	Las Palmas	Saúl Coco	1	0	0	46.7	7.4	0
61	toco_balon	407	213469	44.8	2.3	4	50	1	2372227	Las Palmas	Álvaro Lemos	0	0	0	0	0	0
5	balon_fuera	181	58792	64.4	100	4	52	1	2372227	Mallorca	Jaume Costa	1	0	347	0	0	0
5	balon_fuera	407	213469	35.6	0	4	52	1	2372227	Las Palmas	Álvaro Lemos	0	0	347	0	0	0
1	pase_fallado	181	58792	64.8	100	5	15	1	2372227	Mallorca	Jaume Costa	0	0	0	72.1	87.4	0
8	pase_cortado	407	451565	32.4	8	5	16	1	2372227	Las Palmas	Saúl Coco	1	0	0	0	0	0
1	pase_fallado	181	107594	58.3	85.7	5	18	1	2372227	Mallorca	Omar Mascarell	0	0	0	68.7	92.6	0
1	pase	407	213469	33.2	6.9	5	20	1	2372227	Las Palmas	Álvaro Lemos	1	0	0	38.1	11.7	0
49	recuperacion_balon	407	198221	38.3	9.9	5	20	1	2372227	Las Palmas	Javi Muñoz	1	0	0	0	0	0
1	pase_fallado	407	198221	37.8	11.7	5	21	1	2372227	Las Palmas	Javi Muñoz	0	0	0	39.3	11.9	0
61	toco_balon	181	227164	62	82.2	5	21	1	2372227	Mallorca	Manu Morlanes	1	0	0	0	0	0
4	falta_recibida	407	108438	41.6	3.1	5	23	1	2372227	Las Palmas	Sandro Ramírez	1	0	152	0	0	0
4	falta_cometida	181	500759	58.4	96.9	5	23	1	2372227	Mallorca	Copete	0	0	152	0	0	0
1	pase	407	213469	44.6	4.9	5	39	1	2372227	Las Palmas	Álvaro Lemos	1	0	0	35.2	18.8	0
1	pase	407	451565	37.8	36.3	5	44	1	2372227	Las Palmas	Saúl Coco	1	0	0	44	34	0
1	pase	407	484753	43.5	33.6	5	48	1	2372227	Las Palmas	Kirian Rodríguez	1	0	0	36.6	57.7	0
1	pase	407	487703	40.2	63.7	5	51	1	2372227	Las Palmas	Álex Suárez	1	0	0	47.5	83.1	0
1	pase	407	167432	47.5	83.1	5	53	1	2372227	Las Palmas	Daley Sinkgraven	1	0	0	52.4	72.1	0
1	pase	407	198221	53.2	70.1	5	55	1	2372227	Las Palmas	Javi Muñoz	1	0	0	61.9	75.1	0
1	pase	407	449718	61.9	76.2	5	56	1	2372227	Las Palmas	Enzo Loiodice	1	0	0	53	74.9	0
1	pase	407	198221	47.6	76.4	6	0	1	2372227	Las Palmas	Javi Muñoz	1	0	0	43.8	41.5	0
1	pase	407	451565	44.3	40	6	5	1	2372227	Las Palmas	Saúl Coco	1	0	0	46.5	68.5	0
1	pase	407	198221	58.6	61.8	6	11	1	2372227	Las Palmas	Javi Muñoz	1	0	0	56.4	49.8	0
1	pase	407	484753	56.4	49.8	6	13	1	2372227	Las Palmas	Kirian Rodríguez	1	0	0	59.9	23.6	0
1	pase	407	213469	63.2	15.3	6	15	1	2372227	Las Palmas	Álvaro Lemos	1	0	0	69.3	5.8	0
1	pase	407	108438	68.3	21.7	6	18	1	2372227	Las Palmas	Sandro Ramírez	1	0	0	69.9	34	0
1	pase	407	198221	69.9	34	6	20	1	2372227	Las Palmas	Javi Muñoz	1	0	0	64	48.6	0
1	pase	407	449718	64.7	51.1	6	22	1	2372227	Las Palmas	Enzo Loiodice	1	0	0	66.2	68.3	0
1	pase	407	167432	65.5	66.2	6	24	1	2372227	Las Palmas	Daley Sinkgraven	1	0	0	67.6	40.4	0
1	pase	407	198221	66.8	34.7	6	27	1	2372227	Las Palmas	Javi Muñoz	1	0	0	60.3	21.9	0
1	pase	407	213469	60.3	21.7	6	28	1	2372227	Las Palmas	Álvaro Lemos	1	0	0	69.6	6	0
1	pase	407	198221	74.2	18.2	6	31	1	2372227	Las Palmas	Javi Muñoz	1	0	0	84.5	24.8	0
83	sin_identificar	181	500759	15.5	81.4	6	32	1	2372227	Mallorca	Copete	0	0	0	0	0	0
61	toco_balon	407	108438	88.2	16.5	6	32	1	2372227	Las Palmas	Sandro Ramírez	0	0	0	0	0	0
49	recuperacion_balon	181	500759	12.7	92.9	6	34	1	2372227	Mallorca	Copete	1	0	0	0	0	0
1	pase_fallado	181	500759	14.6	94.4	6	35	1	2372227	Mallorca	Copete	0	0	0	15.7	94.8	0
74	bloqueo_pase	407	198221	86	4.4	6	35	1	2372227	Las Palmas	Javi Muñoz	1	0	0	0	0	0
5	balon_fuera	181	500759	21.2	100	6	36	1	2372227	Mallorca	Copete	1	0	347	0	0	0
5	balon_fuera	407	198221	78.8	0	6	36	1	2372227	Las Palmas	Javi Muñoz	0	0	347	0	0	0
1	pase	181	58792	20.8	100	6	59	1	2372227	Mallorca	Jaume Costa	1	0	0	45	94.2	0
1	pase_fallado	181	156293	45.3	94.4	7	0	1	2372227	Mallorca	Vedat Muriqi	0	0	0	59	92.4	0
49	recuperacion_balon	407	451565	41.1	8.9	7	3	1	2372227	Las Palmas	Saúl Coco	1	0	0	0	0	0
1	pase	407	451565	41.1	8.9	7	3	1	2372227	Las Palmas	Saúl Coco	1	0	0	17.6	41.1	0
1	pase	407	472194	22.2	53	7	8	1	2372227	Las Palmas	Álvaro Vallés	1	0	0	52.8	60.8	0
44	duelo_aereo	407	244363	52.5	59.8	7	9	1	2372227	Las Palmas	Marc Cardona	1	0	0	0	0	0
44	duelo_aereo	181	195923	47.5	40.2	7	9	1	2372227	Mallorca	Giovanni González	0	0	0	0	0	0
1	pase_fallado	407	244363	52.8	61.8	7	9	1	2372227	Las Palmas	Marc Cardona	0	0	0	51.1	40	0
49	recuperacion_balon	181	227164	48.6	58.8	7	11	1	2372227	Mallorca	Manu Morlanes	1	0	0	0	0	0
1	pase	181	227164	48.3	60.6	7	11	1	2372227	Mallorca	Manu Morlanes	1	0	0	63.4	61.4	0
50	me_roban_balon	181	156293	61.1	69.5	7	12	1	2372227	Mallorca	Vedat Muriqi	0	0	0	0	0	0
7	entrada	407	451565	38.9	30.5	7	13	1	2372227	Las Palmas	Saúl Coco	0	0	0	0	0	0
61	toco_balon	181	58792	58.2	97.2	7	15	1	2372227	Mallorca	Jaume Costa	0	0	0	0	0	0
5	balon_fuera	181	58792	65.2	100	7	16	1	2372227	Mallorca	Jaume Costa	0	0	347	0	0	0
5	balon_fuera	407	451565	34.8	0	7	16	1	2372227	Las Palmas	Saúl Coco	1	0	347	0	0	0
1	pase	407	213469	36.8	0	7	25	1	2372227	Las Palmas	Álvaro Lemos	1	0	0	19.9	10.5	0
1	pase	407	451565	19.9	11	7	28	1	2372227	Las Palmas	Saúl Coco	1	0	0	28.7	9.9	0
1	pase	407	484753	31.4	11.7	7	31	1	2372227	Las Palmas	Kirian Rodríguez	1	0	0	41.5	28.5	0
1	pase	407	198221	42.4	32.4	7	32	1	2372227	Las Palmas	Javi Muñoz	1	0	0	34.3	15.1	0
1	pase	407	484753	36	16.1	7	35	1	2372227	Las Palmas	Kirian Rodríguez	1	0	0	41	26.4	0
1	pase	407	198221	39.2	33.2	7	38	1	2372227	Las Palmas	Javi Muñoz	1	0	0	44.4	71.1	0
1	pase	407	167432	40.4	74.8	7	42	1	2372227	Las Palmas	Daley Sinkgraven	1	0	0	35.5	61.6	0
1	pase	407	487703	36	57.7	7	46	1	2372227	Las Palmas	Álex Suárez	1	0	0	44.8	58.7	0
1	pase	407	449718	47.2	59.6	7	48	1	2372227	Las Palmas	Enzo Loiodice	1	0	0	37.1	61.2	0
1	pase	407	487703	37.1	61.2	7	49	1	2372227	Las Palmas	Álex Suárez	1	0	0	45.1	84.2	0
1	pase	407	167432	45.1	84.2	7	51	1	2372227	Las Palmas	Daley Sinkgraven	1	0	0	42.9	68	0
1	pase	407	487703	41	67.3	7	53	1	2372227	Las Palmas	Álex Suárez	1	0	0	44.1	51.8	0
1	pase	407	484753	53.8	39.1	7	57	1	2372227	Las Palmas	Kirian Rodríguez	1	0	0	60	25.6	0
1	pase	407	198221	61.5	23.3	7	58	1	2372227	Las Palmas	Javi Muñoz	1	0	0	60.6	9.9	0
1	pase	407	213469	60.6	9.9	8	1	1	2372227	Las Palmas	Álvaro Lemos	1	0	0	57	18.5	0
1	pase	407	484753	59.8	21.3	8	6	1	2372227	Las Palmas	Kirian Rodríguez	1	0	0	58.9	11.5	0
1	pase	407	213469	59.1	9.4	8	7	1	2372227	Las Palmas	Álvaro Lemos	1	0	0	64.8	5.5	0
1	pase	407	86398	64.8	6.5	8	8	1	2372227	Las Palmas	Jonathan Viera	1	0	0	61.7	21.5	0
1	pase	407	484753	61.6	21.3	8	12	1	2372227	Las Palmas	Kirian Rodríguez	1	0	0	65.2	6.2	0
83	sin_identificar	181	500759	41.1	92.3	8	13	1	2372227	Mallorca	Copete	0	0	0	0	0	0
1	pase	407	86398	67.8	6.2	8	13	1	2372227	Las Palmas	Jonathan Viera	1	0	0	57.8	7.4	0
1	pase	407	213469	57.5	9.4	8	16	1	2372227	Las Palmas	Álvaro Lemos	1	0	0	44.8	31.1	0
1	pase	407	451565	44.7	31.3	8	18	1	2372227	Las Palmas	Saúl Coco	1	0	0	62.4	73.7	0
1	pase	407	167432	62	77.1	8	22	1	2372227	Las Palmas	Daley Sinkgraven	1	0	0	68.8	92.9	0
1	pase	407	244363	68.1	85.1	8	27	1	2372227	Las Palmas	Marc Cardona	1	0	0	62.1	75.5	0
1	pase	407	449718	62.2	76	8	28	1	2372227	Las Palmas	Enzo Loiodice	1	0	0	74.2	91.7	0
1	pase	407	167432	70.3	90.2	8	32	1	2372227	Las Palmas	Daley Sinkgraven	1	0	0	87.1	74.6	0
1	pase_fallado	407	244363	87.1	75.3	8	34	1	2372227	Las Palmas	Marc Cardona	0	0	0	86.6	72.4	0
12	despeje	181	195923	13.5	32.7	8	35	1	2372227	Mallorca	Giovanni González	1	0	0	24.1	26.5	0
49	recuperacion_balon	181	170154	16.2	24.4	8	36	1	2372227	Mallorca	Pablo Maffeo	1	0	0	0	0	0
83	sin_identificar	407	244363	86.9	73.6	8	36	1	2372227	Las Palmas	Marc Cardona	0	0	0	0	0	0
1	pase	181	170154	22.2	25.8	8	37	1	2372227	Mallorca	Pablo Maffeo	1	0	0	27.1	11.2	0
1	pase	181	80906	31.7	14.6	8	38	1	2372227	Mallorca	Dani Rodríguez	1	0	0	44.3	11.6	0
4	falta_cometida	181	156293	43.5	10.2	8	40	1	2372227	Mallorca	Vedat Muriqi	0	0	152	0	0	0
1	pase	407	167432	57.1	91.7	9	33	1	2372227	Las Palmas	Daley Sinkgraven	1	0	0	40	89.4	0
1	pase	407	487703	35	86.5	9	39	1	2372227	Las Palmas	Álex Suárez	1	0	0	44.8	93.1	0
1	pase	407	167432	43.6	86.9	9	45	1	2372227	Las Palmas	Daley Sinkgraven	1	0	0	34	79.7	0
1	pase	407	487703	32.9	70.8	9	48	1	2372227	Las Palmas	Álex Suárez	1	0	0	39.9	87.2	0
1	pase	407	167432	40.9	88.6	9	51	1	2372227	Las Palmas	Daley Sinkgraven	1	0	0	40	70.5	0
1	pase	407	484753	44.7	63.1	9	56	1	2372227	Las Palmas	Kirian Rodríguez	1	0	0	44	41.5	0
1	pase	407	451565	60.4	36.5	10	2	1	2372227	Las Palmas	Saúl Coco	1	0	0	59.4	14.9	0
1	pase_fallado	407	213469	60.9	4.4	10	5	1	2372227	Las Palmas	Álvaro Lemos	0	0	0	79.5	16.3	0
1	pase	181	500759	20.8	81.5	10	6	1	2372227	Mallorca	Copete	1	0	0	24.1	95.4	0
1	pase_fallado	181	58792	24.1	95.6	10	9	1	2372227	Mallorca	Jaume Costa	0	0	0	33.3	94.7	0
1	pase	407	108438	68.6	4.8	10	11	1	2372227	Las Palmas	Sandro Ramírez	1	0	0	63.1	12.2	0
1	pase	407	484753	63.1	12.2	10	12	1	2372227	Las Palmas	Kirian Rodríguez	1	0	0	67.5	3.9	0
1	pase	407	108438	66.1	4.2	10	14	1	2372227	Las Palmas	Sandro Ramírez	1	0	0	46.6	35.2	0
1	pase	407	487703	53	44.8	10	20	1	2372227	Las Palmas	Álex Suárez	1	0	0	48.6	66.4	0
1	pase	407	167432	59.3	83.8	10	24	1	2372227	Las Palmas	Daley Sinkgraven	1	0	0	58.8	90.6	0
1	pase	407	244363	59.5	93.6	10	26	1	2372227	Las Palmas	Marc Cardona	1	0	0	54.2	75.3	0
1	pase	407	484753	58.7	77.9	10	31	1	2372227	Las Palmas	Kirian Rodríguez	1	0	0	63	90.9	0
1	pase	407	167432	55.3	82.4	10	33	1	2372227	Las Palmas	Daley Sinkgraven	1	0	0	54.7	75.6	0
1	pase_fallado	407	484753	56.9	74.4	10	37	1	2372227	Las Palmas	Kirian Rodríguez	0	0	0	70.8	74.9	0
8	pase_cortado	181	170154	24.8	28.5	10	38	1	2372227	Mallorca	Pablo Maffeo	1	0	0	0	0	0
1	pase_fallado	181	170154	25.3	33.9	10	39	1	2372227	Mallorca	Pablo Maffeo	0	0	0	33.5	39.2	0
44	duelo_aereo	181	225463	33.6	36.5	10	43	1	2372227	Mallorca	Amath Ndiaye	1	0	0	0	0	0
44	duelo_aereo	407	198221	66.4	63.5	10	43	1	2372227	Las Palmas	Javi Muñoz	0	0	0	0	0	0
1	pase_fallado	181	225463	31.8	37.3	10	43	1	2372227	Mallorca	Amath Ndiaye	0	0	0	37.7	37.4	0
61	toco_balon	407	198221	66.2	66.2	10	43	1	2372227	Las Palmas	Javi Muñoz	1	0	0	0	0	0
1	pase	407	213469	64.7	56.9	10	45	1	2372227	Las Palmas	Álvaro Lemos	1	0	0	69.6	40.6	0
1	pase	407	449718	70.7	44.7	10	47	1	2372227	Las Palmas	Enzo Loiodice	1	0	0	73.1	53.6	0
1	pase	407	198221	72.3	48.6	10	47	1	2372227	Las Palmas	Javi Muñoz	1	0	0	68.9	42.3	0
